,newCasesByPublishDate,newDeathsByPublishDate,total_population_UK,cumDeathsByPublishDate,new_total_pop,percentage_new_case,percentage_new_death,MA_percentage_new_death,MA_percentage_new_case
2020/3/17,407,16,66796807,82.0,66796725.0,6.093113097984969e-06,2.395327016406867e-07,3.8710216235758324e-07,6.813853888247627e-06
2020/3/18,676,34,66796807,116.0,66796691.0,1.0120261795603018e-05,5.09007250074708e-07,4.726499020420601e-07,8.462785978404236e-06
2020/3/19,643,45,66796807,162.0,66796645.0,9.626231976171857e-06,6.736865302142046e-07,5.1970122336229e-07,9.17925019669248e-06
2020/3/20,714,32,66796807,194.0,66796613.0,1.0689164733547194e-05,4.790662065455324e-07,6.351909026937327e-07,1.0922287151931178e-05
2020/3/21,1035,58,66796807,252.0,66796555.0,1.549481107221772e-05,8.683082533223458e-07,9.174993386825031e-07,1.310376533130503e-05
2020/3/22,665,36,66796807,288.0,66796519.0,9.955608614874078e-06,5.389502408052132e-07,1.2532766186338176e-06,1.4763412898674857e-05
2020/3/23,967,76,66796807,364.0,66796443.0,1.4476818773119401e-05,1.137785136253438e-06,1.5441422889012226e-06,1.7941551587809878e-05
2020/3/24,1427,148,66796807,512.0,66796295.0,2.1363460353601948e-05,2.21569175356208e-06,2.0916555433799235e-06,2.2595428091658652e-05
2020/3/25,1452,191,66796807,703.0,66796104.0,2.1737794767191812e-05,2.859448209733909e-06,2.5921204001880295e-06,2.584847519557986e-05
2020/3/26,2129,181,66796807,884.0,66795923.0,3.187320280011701e-05,2.7097462220860397e-06,2.9685395138655005e-06,2.9777362549413135e-05
2020/3/27,2890,288,66796807,1172.0,66795635.0,4.326630026048858e-05,4.31165898789644e-06,3.6058904756349354e-06,3.340900859936637e-05
2020/3/28,2556,292,66796807,1464.0,66795343.0,3.826614079966623e-05,4.371562250979084e-06,4.151283665727649e-06,3.730805813895672e-05
2020/3/29,2502,212,66796807,1676.0,66795131.0,3.7457820091706984e-05,3.1738840365475144e-06,5.1800527502552285e-06,4.397047751684024e-05
2020/3/30,2665,374,66796807,2050.0,66794757.0,3.989834112279202e-05,5.599241868639481e-06,6.19813992080838e-06,4.9088831392310053e-05
2020/3/31,3250,403,66796807,2453.0,66794354.0,4.865680713073443e-05,6.0334440842110695e-06,7.156365217938056e-06,5.290053052217447e-05
2020/4/1,4567,672,66796807,3125.0,66793682.0,6.837473041237642e-05,1.0060831801426967e-05,8.148827745555091e-06,5.5989343321238276e-05
2020/4/2,4522,657,66796807,3782.0,66793025.0,6.77016799284057e-05,9.836356415958103e-06,8.976599030440855e-06,6.389708295221216e-05
2020/4/3,4672,736,66796807,4518.0,66792289.0,6.994819416953954e-05,1.1019236067804174e-05,9.38945707172055e-06,6.705873467816395e-05
2020/4/4,4000,756,66796807,5274.0,66791533.0,5.988783039311285e-05,1.1318799944298328e-05,1.0891047300181603e-05,6.84238980107751e-05
2020/4/5,6199,599,66796807,5873.0,66790934.0,9.281199750852413e-05,8.968283030747855e-06,1.1656911116116203e-05,7.120106100020872e-05
2020/4/6,4143,567,66796807,6440.0,66790367.0,6.202990320445461e-05,8.489248157597337e-06,1.2640972044777192e-05,7.152918271078626e-05
2020/4/7,3888,1105,66796807,7545.0,66789262.0,5.821295045901241e-05,1.6544575683438453e-05,1.3471063576887263e-05,7.374188056689566e-05
2020/4/8,5865,1030,66796807,8575.0,66788232.0,8.781487133841183e-05,1.5421878512969172e-05,1.3659455084821214e-05,7.638229324874304e-05
2020/4/9,4675,1117,66796807,9692.0,66787115.0,6.999853190244855e-05,1.6724782916585032e-05,1.3785784248691529e-05,7.443487393389486e-05
2020/4/10,5706,1124,66796807,10816.0,66785991.0,8.543707916230516e-05,1.682987679257466e-05,1.4121742815902195e-05,7.486143081472821e-05
2020/4/11,5234,844,66796807,11660.0,66785147.0,7.837071916604452e-05,1.2637540499835989e-05,1.406207971459183e-05,7.778002871743258e-05
2020/4/12,5288,658,66796807,12318.0,66784489.0,7.918006230458693e-05,9.852587177840052e-06,1.3743556449649855e-05,7.508589079910561e-05
2020/4/13,4342,724,66796807,13042.0,66783765.0,6.501580137028812e-05,1.0840958128071995e-05,1.3572647794246736e-05,7.496490674226436e-05
2020/4/14,5252,1077,66796807,14119.0,66782688.0,7.864313577794292e-05,1.6126933974265905e-05,1.3123631405006163e-05,7.473713094729294e-05
2020/4/15,4605,881,66796807,15000.0,66781807.0,6.89559059101231e-05,1.3192215658375342e-05,1.3686429897733923e-05,7.536286768506266e-05
2020/4/16,4618,1037,66796807,16037.0,66780770.0,6.915164350455977e-05,1.5528422328763206e-05,1.3207362553520323e-05,7.656618572476862e-05
2020/4/17,5599,914,66796807,16951.0,66779856.0,8.384264859750521e-05,1.3686762067890653e-05,1.2884469025594305e-05,7.72815472469863e-05
